elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
7.846941e+02,67108864,16,1000,28000,240518170368000,0,28,3.380000e-02,2,1.000000e+00,1.569388e+03,3.065120e+11,0.000000e+00,1.000000e+00
3.925582e+02,33554432,16,1000,28000,120259086080000,0,28,8.565124e-02,4,2.000000e+00,7.851164e+02,3.063472e+11,0.000000e+00,9.994621e-01
1.964986e+02,16777216,16,1000,28000,60129543936000,0,28,9.343249e-02,6,4.000000e+00,3.929972e+02,3.060049e+11,0.000000e+00,9.983457e-01
9.841657e+01,8388608,16,1000,28000,30064772864000,0,28,8.217835e-02,8,8.000000e+00,1.968331e+02,3.054849e+11,0.000000e+00,9.966488e-01
4.935054e+01,4194304,16,1000,28000,15032387328000,0,28,5.585842e-02,10,1.600000e+01,9.870107e+01,3.046043e+11,0.000000e+00,9.937761e-01
2.486142e+01,2097152,16,1000,28000,7516194560000,0,28,6.279212e-02,10,3.200000e+01,4.972283e+01,3.023237e+11,0.000000e+00,9.863353e-01
1.259903e+01,1048576,16,1000,28000,3758098176000,0,28,4.791025e-02,10,6.400000e+01,2.519807e+01,2.982846e+11,0.000000e+00,9.731576e-01
6.519516e+00,524288,16,1000,28000,1879049984000,0,28,4.178439e-02,10,1.280000e+02,1.303903e+01,2.882193e+11,0.000000e+00,9.403187e-01
3.468004e+00,262144,16,1000,28000,939525888000,0,28,3.006080e-02,10,2.560000e+02,6.936009e+00,2.709125e+11,0.000000e+00,8.838545e-01
2.002273e+00,131072,16,1000,28000,469763840000,0,28,2.590722e-02,10,5.120000e+02,4.004546e+00,2.346153e+11,0.000000e+00,7.654328e-01
1.321708e+00,65536,16,1000,28000,234882816000,0,28,3.712924e-02,10,1.024000e+03,2.643415e+00,1.777116e+11,0.000000e+00,5.797824e-01
8.612330e-01,32768,16,1000,28000,117442304000,0,28,3.601737e-02,10,2.048000e+03,1.722466e+00,1.363653e+11,0.000000e+00,4.448871e-01
6.835686e-01,16384,16,1000,28000,58722048000,0,28,4.153446e-02,10,4.096000e+03,1.367137e+00,8.590512e+10,0.000000e+00,2.802582e-01
5.606466e-01,8192,16,1000,28000,29361920000,0,28,1.382882e-02,10,8.192000e+03,1.121293e+00,5.237153e+10,0.000000e+00,1.708525e-01
5.057214e-01,4096,16,1000,28000,14681856000,0,28,1.476799e-02,10,1.638400e+04,1.011443e+00,2.903151e+10,0.000000e+00,9.470417e-02
4.888030e-01,2048,16,1000,28000,7341824000,0,28,5.401453e-03,10,3.276800e+04,9.776061e-01,1.502001e+10,0.000000e+00,4.899103e-02
4.848892e-01,1024,16,1000,28000,3671808000,0,28,4.851505e-03,10,6.553600e+04,9.697784e-01,7.572468e+09,0.000000e+00,2.469323e-02
4.822952e-01,512,16,1000,28000,1836800000,0,28,2.960217e-03,10,1.310720e+05,9.645904e-01,3.808456e+09,0.000000e+00,1.241302e-02
4.828182e-01,256,16,1000,28000,919296000,0,28,4.868077e-03,10,2.621440e+05,9.656364e-01,1.904021e+09,0.000000e+00,6.199788e-03
