elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
3.904662e+02,67108864,16,1000,14000,120259085184000,0,14,0.000000e+00,1,1.000000e+00,3.904662e+02,3.079885e+11,0.000000e+00,1.000000e+00
1.955143e+02,33554432,16,1000,14000,60129543040000,0,14,3.990000e-02,2,2.000000e+00,1.955143e+02,3.075455e+11,0.000000e+00,9.985617e-01
9.798350e+01,16777216,16,1000,14000,30064771968000,0,14,7.247794e-02,3,4.000000e+00,9.798350e+01,3.068350e+11,0.000000e+00,9.962550e-01
4.912020e+01,8388608,16,1000,14000,15032386432000,0,14,5.577877e-02,4,8.000000e+00,4.912020e+01,3.060326e+11,0.000000e+00,9.936497e-01
2.472121e+01,4194304,16,1000,14000,7516193664000,0,14,6.270006e-02,5,1.600000e+01,2.472121e+01,3.040382e+11,0.000000e+00,9.871739e-01
1.247695e+01,2097152,16,1000,14000,3758097280000,0,14,4.996631e-02,5,3.200000e+01,1.247695e+01,3.012032e+11,0.000000e+00,9.779690e-01
6.329114e+00,1048576,16,1000,14000,1879049088000,0,14,1.878071e-02,5,6.400000e+01,6.329114e+00,2.968897e+11,0.000000e+00,9.639634e-01
3.248590e+00,524288,16,1000,14000,939524992000,0,14,1.621965e-02,5,1.280000e+02,3.248590e+00,2.892100e+11,0.000000e+00,9.390280e-01
1.719407e+00,262144,16,1000,14000,469762944000,0,14,1.567388e-02,5,2.560000e+02,1.719407e+00,2.732122e+11,0.000000e+00,8.870840e-01
8.818700e-01,131072,16,1000,14000,234881920000,0,14,5.589035e-03,5,5.120000e+02,8.818700e-01,2.663453e+11,0.000000e+00,8.647865e-01
4.588980e-01,65536,16,1000,14000,117441408000,0,14,5.183956e-03,5,1.024000e+03,4.588980e-01,2.559205e+11,0.000000e+00,8.309355e-01
2.405360e-01,32768,16,1000,14000,58721152000,0,14,1.429538e-03,5,2.048000e+03,2.405360e-01,2.441262e+11,0.000000e+00,7.926352e-01
1.278009e-01,16384,16,1000,14000,29361024000,0,14,9.319363e-04,5,4.096000e+03,1.278009e-01,2.297403e+11,0.000000e+00,7.459152e-01
6.859670e-02,8192,16,1000,14000,14680960000,0,14,4.788846e-04,5,8.192000e+03,6.859670e-02,2.140185e+11,0.000000e+00,6.948488e-01
7.647223e-02,4096,16,1000,14000,7340928000,0,14,7.843165e-04,5,1.638400e+04,7.647223e-02,9.599468e+10,0.000000e+00,3.116447e-01
9.500012e-02,2048,16,1000,14000,3670912000,0,14,6.626844e-03,5,3.276800e+04,9.500012e-02,3.864113e+10,0.000000e+00,1.254323e-01
1.001224e-01,1024,16,1000,14000,1835904000,0,14,2.565693e-03,5,6.553600e+04,1.001224e-01,1.833660e+10,0.000000e+00,5.950758e-02
1.053868e-01,512,16,1000,14000,918400000,0,14,9.561852e-03,5,1.310720e+05,1.053868e-01,8.714566e+09,0.000000e+00,2.826750e-02
1.052104e-01,256,16,1000,14000,459648000,0,14,3.828597e-03,5,2.621440e+05,1.052104e-01,4.368846e+09,0.000000e+00,1.415744e-02
