elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
3.864455e+02,67108864,16,1000,12000,103079215872000,0,12,0.000000e+00,1,1.000000e+00,5.152607e+02,2.667367e+11,0.000000e+00,1.000000e+00
1.934648e+02,33554432,16,1000,12000,51539608320000,0,12,4.400000e-03,2,2.000000e+00,2.579531e+02,2.664030e+11,0.000000e+00,9.987489e-01
9.679226e+01,16777216,16,1000,12000,25769804544000,0,12,1.216429e-01,3,4.000000e+00,1.290564e+02,2.662383e+11,0.000000e+00,9.981312e-01
5.017954e+01,8388608,16,1000,12000,12884902656000,0,12,2.968594e+00,4,8.000000e+00,6.690605e+01,2.567760e+11,0.000000e+00,9.626570e-01
2.434526e+01,4194304,16,1000,12000,6442451712000,0,12,5.892356e-02,5,1.600000e+01,3.246035e+01,2.646286e+11,0.000000e+00,9.920963e-01
1.306112e+01,2097152,16,1000,12000,3221226240000,0,12,1.565777e+00,5,3.200000e+01,1.741482e+01,2.466272e+11,0.000000e+00,9.246087e-01
6.180569e+00,1048576,16,1000,12000,1610613504000,0,12,3.972276e-02,5,6.400000e+01,8.240758e+00,2.605931e+11,0.000000e+00,9.769669e-01
3.186154e+00,524288,16,1000,12000,805307136000,0,12,9.556481e-02,5,1.280000e+02,4.248205e+00,2.527521e+11,0.000000e+00,9.475706e-01
1.657294e+00,262144,16,1000,12000,402653952000,0,12,3.889796e-02,5,2.560000e+02,2.209726e+00,2.429586e+11,0.000000e+00,9.108537e-01
9.259887e-01,131072,16,1000,12000,201327360000,0,12,2.137115e-02,5,5.120000e+02,1.234652e+00,2.174188e+11,0.000000e+00,8.151032e-01
4.984058e-01,65536,16,1000,12000,100664064000,0,12,1.247127e-02,5,1.024000e+03,6.645410e-01,2.019721e+11,0.000000e+00,7.571906e-01
2.823007e-01,32768,16,1000,12000,50332416000,0,12,1.132898e-02,5,2.048000e+03,3.764010e-01,1.782936e+11,0.000000e+00,6.684152e-01
1.616334e-01,16384,16,1000,12000,25166592000,0,12,1.711282e-03,5,4.096000e+03,2.155112e-01,1.557017e+11,0.000000e+00,5.837100e-01
1.065430e-01,8192,16,1000,12000,12583680000,0,12,6.302171e-03,5,8.192000e+03,1.420573e-01,1.181090e+11,0.000000e+00,4.427652e-01
6.652999e-02,4096,16,1000,12000,6292224000,0,12,4.669605e-04,5,1.638400e+04,8.870666e-02,9.457725e+10,0.000000e+00,3.545282e-01
6.185160e-02,2048,16,1000,12000,3146496000,0,12,2.471741e-03,5,3.276800e+04,8.246879e-02,5.087170e+10,0.000000e+00,1.906722e-01
6.486597e-02,1024,16,1000,12000,1573632000,0,12,2.809709e-03,5,6.553600e+04,8.648796e-02,2.425975e+10,0.000000e+00,9.090576e-02
6.468792e-02,512,16,1000,12000,787200000,0,12,4.317570e-04,5,1.310720e+05,8.625056e-02,1.216920e+10,0.000000e+00,4.557799e-02
6.394925e-02,256,16,1000,12000,393984000,0,12,1.726243e-03,5,2.621440e+05,8.526567e-02,6.160885e+09,0.000000e+00,2.305223e-02
