elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
4.875381e+02,33554432,16,1000,14000,20291140879104,0,14,6.285000e-02,2,1.000000e+00,4.875381e+02,4.161960e+10,0.000000e+00,1.000000e+00
2.452900e+02,16777216,16,1000,14000,10145570663680,0,14,7.558282e-02,3,2.000000e+00,2.452900e+02,4.136153e+10,0.000000e+00,9.937993e-01
1.238149e+02,8388608,16,1000,14000,5072785554048,0,14,7.149012e-02,4,4.000000e+00,1.238149e+02,4.097071e+10,0.000000e+00,9.844091e-01
6.282599e+01,4194304,16,1000,14000,2536393003648,0,14,4.623587e-02,5,8.000000e+00,6.282599e+01,4.037172e+10,0.000000e+00,9.700169e-01
3.212340e+01,2097152,16,1000,14000,1268196730240,0,14,3.338703e-02,5,1.600000e+01,3.212340e+01,3.947890e+10,0.000000e+00,9.485649e-01
1.653059e+01,1048576,16,1000,14000,634098588288,0,14,4.068072e-02,5,3.200000e+01,1.653059e+01,3.835909e+10,0.000000e+00,9.216588e-01
8.583078e+00,524288,16,1000,14000,317049519616,0,14,1.746807e-02,5,6.400000e+01,8.583078e+00,3.693891e+10,0.000000e+00,8.875351e-01
4.538825e+00,262144,16,1000,14000,158524986752,0,14,7.874911e-03,5,1.280000e+02,4.538825e+00,3.492643e+10,0.000000e+00,8.391801e-01
2.444339e+00,131072,16,1000,14000,79262717952,0,14,8.809917e-03,5,2.560000e+02,2.444339e+00,3.242705e+10,0.000000e+00,7.791250e-01
1.353301e+00,65536,16,1000,14000,39631582976,0,14,1.060308e-02,5,5.120000e+02,1.353301e+00,2.928512e+10,0.000000e+00,7.036298e-01
8.284087e-01,32768,16,1000,14000,19816012416,0,14,1.688668e-02,5,1.024000e+03,8.284087e-01,2.392058e+10,0.000000e+00,5.747302e-01
5.491912e-01,16384,16,1000,14000,9908231040,0,14,7.535296e-03,5,2.048000e+03,5.491912e-01,1.804150e+10,0.000000e+00,4.334661e-01
4.286580e-01,8192,16,1000,14000,4954342528,0,14,5.974151e-03,5,4.096000e+03,4.286580e-01,1.155780e+10,0.000000e+00,2.776756e-01
3.640475e-01,4096,16,1000,14000,2477389056,0,14,4.802148e-03,5,8.192000e+03,3.640475e-01,6.805126e+09,0.000000e+00,1.634785e-01
3.424368e-01,2048,16,1000,14000,1238919552,0,14,9.887404e-03,5,1.638400e+04,3.424368e-01,3.617951e+09,0.000000e+00,8.689770e-02
3.244823e-01,1024,16,1000,14000,619686400,0,14,9.581361e-03,5,3.276800e+04,3.244823e-01,1.909769e+09,0.000000e+00,4.585298e-02
3.304996e-01,512,16,1000,14000,310065536,0,14,8.908371e-03,5,6.553600e+04,3.304996e-01,9.381723e+08,0.000000e+00,2.250908e-02
3.187113e-01,256,16,1000,14000,155256448,0,14,6.787392e-03,5,1.310720e+05,3.187113e-01,4.871382e+08,0.000000e+00,1.167082e-02
