elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
4.941117e+02,33554432,16,1000,14000,20291140879104,0,14,1.772000e-01,2,1.000000e+00,4.941117e+02,4.106590e+10,0.000000e+00,1.000000e+00
2.471556e+02,16777216,16,1000,14000,10145570663680,0,14,4.391123e-01,3,2.000000e+00,2.471556e+02,4.104933e+10,0.000000e+00,9.995964e-01
1.246436e+02,8388608,16,1000,14000,5072785554048,0,14,1.918272e-01,4,4.000000e+00,1.246436e+02,4.069832e+10,0.000000e+00,9.910489e-01
6.320521e+01,4194304,16,1000,14000,2536393003648,0,14,8.712302e-02,5,8.000000e+00,6.320521e+01,4.012950e+10,0.000000e+00,9.771974e-01
3.242193e+01,2097152,16,1000,14000,1268196730240,0,14,8.735716e-02,5,1.600000e+01,3.242193e+01,3.911539e+10,0.000000e+00,9.525027e-01
1.669291e+01,1048576,16,1000,14000,634098588288,0,14,5.821857e-02,5,3.200000e+01,1.669291e+01,3.798611e+10,0.000000e+00,9.250030e-01
8.608261e+00,524288,16,1000,14000,317049519616,0,14,2.128265e-02,5,6.400000e+01,8.608261e+00,3.683084e+10,0.000000e+00,8.968705e-01
4.438516e+00,262144,16,1000,14000,158524986752,0,14,1.244588e-02,5,1.280000e+02,4.438516e+00,3.571576e+10,0.000000e+00,8.697158e-01
2.334248e+00,131072,16,1000,14000,79262717952,0,14,1.101337e-02,5,2.560000e+02,2.334248e+00,3.395642e+10,0.000000e+00,8.268717e-01
1.227404e+00,65536,16,1000,14000,39631582976,0,14,5.239195e-03,5,5.120000e+02,1.227404e+00,3.228895e+10,0.000000e+00,7.862626e-01
6.791479e-01,32768,16,1000,14000,19816012416,0,14,3.812950e-03,5,1.024000e+03,6.791479e-01,2.917776e+10,0.000000e+00,7.104946e-01
3.921176e-01,16384,16,1000,14000,9908231040,0,14,4.592516e-03,5,2.048000e+03,3.921176e-01,2.526852e+10,0.000000e+00,6.152885e-01
2.232072e-01,8192,16,1000,14000,4954342528,0,14,8.782003e-04,5,4.096000e+03,2.232072e-01,2.219616e+10,0.000000e+00,5.404519e-01
1.349315e-01,4096,16,1000,14000,2477389056,0,14,1.147607e-03,5,8.192000e+03,1.349315e-01,1.836035e+10,0.000000e+00,4.470148e-01
1.017874e-01,2048,16,1000,14000,1238919552,0,14,1.976458e-03,5,1.638400e+04,1.017874e-01,1.217164e+10,0.000000e+00,2.962861e-01
9.881802e-02,1024,16,1000,14000,619686400,0,14,2.282484e-03,5,3.276800e+04,9.881802e-02,6.270986e+09,0.000000e+00,1.525946e-01
1.019079e-01,512,16,1000,14000,310065536,0,14,1.308649e-03,5,6.553600e+04,1.019079e-01,3.042607e+09,0.000000e+00,7.398395e-02
1.014380e-01,256,16,1000,14000,155256448,0,14,1.236423e-03,5,1.310720e+05,1.014380e-01,1.530555e+09,0.000000e+00,3.716333e-02
