elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
5.758451e+02,33554432,16,1000,14000,20291140879104,0,14,4.808000e-01,2,1.000000e+00,5.758451e+02,3.523715e+10,0.000000e+00,1.000000e+00
2.883965e+02,16777216,16,1000,14000,10145570663680,0,14,1.585208e-01,3,2.000000e+00,2.883965e+02,3.517924e+10,0.000000e+00,9.983565e-01
1.443409e+02,8388608,16,1000,14000,5072785554048,0,14,8.831564e-02,4,4.000000e+00,1.443409e+02,3.514447e+10,0.000000e+00,9.973696e-01
7.255268e+01,4194304,16,1000,14000,2536393003648,0,14,4.508759e-02,5,8.000000e+00,7.255268e+01,3.495933e+10,0.000000e+00,9.921155e-01
3.649692e+01,2097152,16,1000,14000,1268196730240,0,14,3.107661e-02,5,1.600000e+01,3.649692e+01,3.474805e+10,0.000000e+00,9.861193e-01
1.842453e+01,1048576,16,1000,14000,634098588288,0,14,2.097660e-02,5,3.200000e+01,1.842453e+01,3.441599e+10,0.000000e+00,9.766955e-01
9.331623e+00,524288,16,1000,14000,317049519616,0,14,1.914141e-02,5,6.400000e+01,9.331623e+00,3.397582e+10,0.000000e+00,9.642031e-01
4.735232e+00,262144,16,1000,14000,158524986752,0,14,1.063883e-02,5,1.280000e+02,4.735232e+00,3.347776e+10,0.000000e+00,9.500674e-01
2.402013e+00,131072,16,1000,14000,79262717952,0,14,6.355368e-03,5,2.560000e+02,2.402013e+00,3.299845e+10,0.000000e+00,9.364623e-01
1.232785e+00,65536,16,1000,14000,39631582976,0,14,4.731805e-03,5,5.120000e+02,1.232785e+00,3.214800e+10,0.000000e+00,9.123223e-01
6.347221e-01,32768,16,1000,14000,19816012416,0,14,4.286959e-03,5,1.024000e+03,6.347221e-01,3.121998e+10,0.000000e+00,8.859762e-01
3.369348e-01,16384,16,1000,14000,9908231040,0,14,3.374827e-03,5,2.048000e+03,3.369348e-01,2.940697e+10,0.000000e+00,8.345068e-01
1.781904e-01,8192,16,1000,14000,4954342528,0,14,1.437712e-03,5,4.096000e+03,1.781904e-01,2.780365e+10,0.000000e+00,7.889718e-01
9.809986e-02,4096,16,1000,14000,2477389056,0,14,2.394779e-03,5,8.192000e+03,9.809986e-02,2.525375e+10,0.000000e+00,7.165514e-01
5.639897e-02,2048,16,1000,14000,1238919552,0,14,3.741050e-04,5,1.638400e+04,5.639897e-02,2.196706e+10,0.000000e+00,6.231816e-01
4.891887e-02,1024,16,1000,14000,619686400,0,14,1.532591e-03,5,3.276800e+04,4.891887e-02,1.266764e+10,0.000000e+00,3.592356e-01
5.412078e-02,512,16,1000,14000,310065536,0,14,3.307757e-03,5,6.553600e+04,5.412078e-02,5.729140e+09,0.000000e+00,1.623535e-01
5.207782e-02,256,16,1000,14000,155256448,0,14,1.243433e-03,5,1.310720e+05,5.207782e-02,2.981239e+09,0.000000e+00,8.436124e-02
