elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
8.361830e+02,16777216,16,1000,48000,206688719648384,0,48,7.012856e-01,8,1.000000e+00,3.902187e+03,2.471812e+11,0.000000e+00,1.000000e+00
4.186081e+02,8388608,16,1000,48000,103344359821824,0,48,5.219924e-01,16,2.000000e+00,1.953504e+03,2.468762e+11,0.000000e+00,9.987660e-01
2.096853e+02,4194304,16,1000,48000,51672179912320,0,48,3.045068e-01,12,4.000000e+00,9.785314e+02,2.464273e+11,0.000000e+00,9.969499e-01
1.054543e+02,2097152,16,1000,48000,25836089965440,0,48,1.460323e-01,16,8.000000e+00,4.921201e+02,2.449980e+11,0.000000e+00,9.911675e-01
5.327217e+01,1048576,16,1000,48000,12918044980608,0,48,1.313734e-01,20,1.600000e+01,2.486034e+02,2.424915e+11,0.000000e+00,9.810271e-01
2.722817e+01,524288,16,1000,48000,6459022490112,0,48,8.386381e-02,20,3.200000e+01,1.270648e+02,2.372184e+11,0.000000e+00,9.596942e-01
1.409111e+01,262144,16,1000,48000,3229511241600,0,48,8.280206e-02,20,6.400000e+01,6.575852e+01,2.291878e+11,0.000000e+00,9.272057e-01
7.392371e+00,131072,16,1000,48000,1614755623040,0,48,3.578939e-02,20,1.280000e+02,3.449773e+01,2.184354e+11,0.000000e+00,8.837056e-01
4.049942e+00,65536,16,1000,48000,807377817088,0,48,4.032523e-02,20,2.560000e+02,1.889973e+01,1.993554e+11,0.000000e+00,8.065152e-01
2.331932e+00,32768,16,1000,48000,403688907648,0,48,2.993775e-02,20,5.120000e+02,1.088235e+01,1.731135e+11,0.000000e+00,7.003506e-01
1.557037e+00,16384,16,1000,48000,201844438272,0,48,3.816334e-02,20,1.024000e+03,7.266172e+00,1.296337e+11,0.000000e+00,5.244480e-01
1.116179e+00,8192,16,1000,48000,100922228736,0,48,2.847837e-02,20,2.048000e+03,5.208837e+00,9.041757e+10,0.000000e+00,3.657947e-01
8.321013e-01,4096,16,1000,48000,50461115392,0,48,2.460878e-02,20,4.096000e+03,3.883139e+00,6.064299e+10,0.000000e+00,2.453382e-01
7.467897e-01,2048,16,1000,48000,25230562176,0,48,9.768277e-03,20,8.192000e+03,3.485018e+00,3.378537e+10,0.000000e+00,1.366826e-01
7.530542e-01,1024,16,1000,48000,12615285504,0,48,7.750254e-03,20,1.638400e+04,3.514253e+00,1.675216e+10,0.000000e+00,6.777276e-02
7.558625e-01,512,16,1000,48000,6307649536,0,48,5.495175e-03,20,3.276800e+04,3.527359e+00,8.344969e+09,0.000000e+00,3.376048e-02
7.539144e-01,256,16,1000,48000,3153827584,0,48,7.084832e-03,20,6.553600e+04,3.518267e+00,4.183270e+09,0.000000e+00,1.692386e-02
7.565933e-01,128,16,1000,48000,1576917120,0,48,7.179503e-03,20,1.310720e+05,3.530769e+00,2.084233e+09,0.000000e+00,8.431967e-03
7.591276e-01,64,16,1000,48000,788460544,0,48,6.175888e-03,20,2.621440e+05,3.542596e+00,1.038640e+09,0.000000e+00,4.201909e-03
