elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
2.907588e+02,16777216,16,1000,20000,86403731084928,0,20,0.000000e+00,1,1.000000e+00,2.326070e+02,2.971663e+11,0.000000e+00,1.000000e+00
1.455387e+02,8388608,16,1000,20000,43201865543808,0,20,4.080000e-02,2,2.000000e+00,1.164310e+02,2.968411e+11,0.000000e+00,9.989054e-01
7.315793e+01,4194304,16,1000,20000,21600932777984,0,20,9.779046e-02,3,4.000000e+00,5.852634e+01,2.952644e+11,0.000000e+00,9.935997e-01
3.680195e+01,2097152,16,1000,20000,10800466388864,0,20,2.598805e-02,4,8.000000e+00,2.944156e+01,2.934754e+11,0.000000e+00,9.875795e-01
1.872410e+01,1048576,16,1000,20000,5400233189504,0,20,8.490851e-02,5,1.600000e+01,1.497928e+01,2.884108e+11,0.000000e+00,9.705364e-01
9.544899e+00,524288,16,1000,20000,2700116593024,0,20,9.599278e-02,5,3.200000e+01,7.635919e+00,2.828858e+11,0.000000e+00,9.519444e-01
4.853243e+00,262144,16,1000,20000,1350058291200,0,20,9.905727e-02,5,6.400000e+01,3.882595e+00,2.781765e+11,0.000000e+00,9.360969e-01
2.468424e+00,131072,16,1000,20000,675029146240,0,20,3.156634e-02,5,1.280000e+02,1.974739e+00,2.734656e+11,0.000000e+00,9.202442e-01
1.253470e+00,65536,16,1000,20000,337514574976,0,20,1.967562e-02,5,2.560000e+02,1.002776e+00,2.692641e+11,0.000000e+00,9.061058e-01
6.390731e-01,32768,16,1000,20000,168757279872,0,20,6.057040e-03,5,5.120000e+02,5.112584e-01,2.640657e+11,0.000000e+00,8.886125e-01
3.508142e-01,16384,16,1000,20000,84378636672,0,20,1.336040e-02,5,1.024000e+03,2.806513e-01,2.405223e+11,0.000000e+00,8.093862e-01
1.672450e-01,8192,16,1000,20000,42189327616,0,20,2.038383e-03,5,2.048000e+03,1.337960e-01,2.522606e+11,0.000000e+00,8.488867e-01
9.626242e-02,4096,16,1000,20000,21094660608,0,20,6.266344e-03,5,4.096000e+03,7.700993e-02,2.191370e+11,0.000000e+00,7.374221e-01
2.014234e-01,2048,16,1000,20000,10547329408,0,20,1.086261e-02,5,8.192000e+03,1.611387e-01,5.236397e+10,0.000000e+00,1.762110e-01
2.112169e-01,1024,16,1000,20000,5273660800,0,20,2.880669e-03,5,1.638400e+04,1.689735e-01,2.496799e+10,0.000000e+00,8.402031e-02
2.149038e-01,512,16,1000,20000,2636835584,0,20,6.837560e-03,5,3.276800e+04,1.719231e-01,1.226984e+10,0.000000e+00,4.128942e-02
2.200664e-01,256,16,1000,20000,1318420096,0,20,3.891986e-03,5,6.553600e+04,1.760531e-01,5.991011e+09,0.000000e+00,2.016040e-02
2.386372e-01,128,16,1000,20000,659213952,0,20,2.419374e-02,5,1.310720e+05,1.909098e-01,2.762410e+09,0.000000e+00,9.295757e-03
2.277778e-01,64,16,1000,20000,329608576,0,20,4.477576e-03,5,2.621440e+05,1.822222e-01,1.447062e+09,0.000000e+00,4.869468e-03
