elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
4.104034e+02,16777216,16,1000,28000,121183089387392,0,28,3.123600e+00,2,1.000000e+00,8.208068e+02,2.952780e+11,0.000000e+00,1.000000e+00
2.059367e+02,8388608,16,1000,28000,60591544699904,0,28,1.704650e+00,4,2.000000e+00,4.118734e+02,2.942241e+11,0.000000e+00,9.964309e-01
1.034733e+02,4194304,16,1000,28000,30295772353024,0,28,8.410712e-01,6,4.000000e+00,2.069467e+02,2.927882e+11,0.000000e+00,9.915679e-01
5.228332e+01,2097152,16,1000,28000,15147886182144,0,28,4.528016e-01,8,8.000000e+00,1.045666e+02,2.897269e+11,0.000000e+00,9.812006e-01
2.668183e+01,1048576,16,1000,28000,7573943087104,0,28,2.320959e-01,10,1.600000e+01,5.336367e+01,2.838614e+11,0.000000e+00,9.613362e-01
1.366164e+01,524288,16,1000,28000,3786971539200,0,28,1.185108e-01,10,3.200000e+01,2.732328e+01,2.771975e+11,0.000000e+00,9.387678e-01
7.045995e+00,262144,16,1000,28000,1893485761408,0,28,7.238799e-02,10,6.400000e+01,1.409199e+01,2.687322e+11,0.000000e+00,9.100990e-01
3.599424e+00,131072,16,1000,28000,946742882176,0,28,5.013970e-02,10,1.280000e+02,7.198847e+00,2.630263e+11,0.000000e+00,8.907750e-01
1.831854e+00,65536,16,1000,28000,473371445504,0,28,2.453937e-02,10,2.560000e+02,3.663708e+00,2.584111e+11,0.000000e+00,8.751453e-01
9.298119e-01,32768,16,1000,28000,236685718400,0,28,1.321611e-02,10,5.120000e+02,1.859624e+00,2.545522e+11,0.000000e+00,8.620766e-01
4.777449e-01,16384,16,1000,28000,118342850176,0,28,5.965359e-03,10,1.024000e+03,9.554898e-01,2.477114e+11,0.000000e+00,8.389091e-01
2.532309e-01,8192,16,1000,28000,59171436544,0,28,3.836477e-03,10,2.048000e+03,5.064618e-01,2.336659e+11,0.000000e+00,7.913422e-01
1.370465e-01,4096,16,1000,28000,29585715456,0,28,2.864746e-03,10,4.096000e+03,2.740931e-01,2.158808e+11,0.000000e+00,7.311103e-01
1.046747e-01,2048,16,1000,28000,14792861824,0,28,4.171304e-03,10,8.192000e+03,2.093493e-01,1.413223e+11,0.000000e+00,4.786074e-01
1.083306e-01,1024,16,1000,28000,7396432768,0,28,3.620675e-03,10,1.638400e+04,2.166611e-01,6.827651e+10,0.000000e+00,2.312278e-01
1.085862e-01,512,16,1000,28000,3698224384,0,28,3.759901e-03,10,3.276800e+04,2.171724e-01,3.405796e+10,0.000000e+00,1.153417e-01
1.069438e-01,256,16,1000,28000,1849115520,0,28,2.362578e-03,10,6.553600e+04,2.138877e-01,1.729053e+10,0.000000e+00,5.855652e-02
1.079778e-01,128,16,1000,28000,924561536,0,28,2.363049e-03,10,1.310720e+05,2.159556e-01,8.562513e+09,0.000000e+00,2.899789e-02
1.063644e-01,64,16,1000,28000,462282368,0,28,3.392354e-03,10,2.621440e+05,2.127288e-01,4.346212e+09,0.000000e+00,1.471888e-02
