elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
4.955114e+02,67108864,16,1000,14000,120368856616448,0,14,0.000000e+00,1,1.000000e+00,4.955114e+02,2.429184e+11,0.000000e+00,1.000000e+00
2.489121e+02,33554432,16,1000,14000,60184428302464,0,14,4.260000e-02,2,2.000000e+00,2.489121e+02,2.417899e+11,0.000000e+00,9.953542e-01
1.255445e+02,16777216,16,1000,14000,30092214148480,0,14,3.692190e-02,3,4.000000e+00,1.255445e+02,2.396936e+11,0.000000e+00,9.867246e-01
6.404795e+01,8388608,16,1000,14000,15046107069696,0,14,1.113590e-01,4,8.000000e+00,6.404795e+01,2.349194e+11,0.000000e+00,9.670712e-01
3.389498e+01,4194304,16,1000,14000,7523053537664,0,14,3.677000e-02,5,1.600000e+01,3.389498e+01,2.219518e+11,0.000000e+00,9.136887e-01
1.854497e+01,2097152,16,1000,14000,3761526763904,0,14,1.447410e-02,5,3.200000e+01,1.854497e+01,2.028327e+11,0.000000e+00,8.349828e-01
1.000430e+01,1048576,16,1000,14000,1880763382528,0,14,1.764677e-02,5,6.400000e+01,1.000430e+01,1.879955e+11,0.000000e+00,7.739039e-01
5.227341e+00,524288,16,1000,14000,940381687808,0,14,1.486009e-02,5,1.280000e+02,5.227341e+00,1.798967e+11,0.000000e+00,7.405644e-01
2.736629e+00,262144,16,1000,14000,470190845312,0,14,6.783452e-03,5,2.560000e+02,2.736629e+00,1.718139e+11,0.000000e+00,7.072903e-01
1.498363e+00,131072,16,1000,14000,235095424256,0,14,9.088037e-03,5,5.120000e+02,1.498363e+00,1.569015e+11,0.000000e+00,6.459019e-01
8.397400e-01,65536,16,1000,14000,117547706496,0,14,4.903396e-03,5,1.024000e+03,8.397400e-01,1.399811e+11,0.000000e+00,5.762472e-01
5.540583e-01,32768,16,1000,14000,58773856256,0,14,5.697877e-03,5,2.048000e+03,5.540583e-01,1.060788e+11,0.000000e+00,4.366850e-01
4.309174e-01,16384,16,1000,14000,29386928640,0,14,8.932080e-03,5,4.096000e+03,4.309174e-01,6.819620e+10,0.000000e+00,2.807370e-01
3.689885e-01,8192,16,1000,14000,14693457792,0,14,5.229509e-03,5,8.192000e+03,3.689885e-01,3.982091e+10,0.000000e+00,1.639271e-01
3.536281e-01,4096,16,1000,14000,7346725248,0,14,7.720377e-03,5,1.638400e+04,3.536281e-01,2.077528e+10,0.000000e+00,8.552378e-02
3.351364e-01,2048,16,1000,14000,3673360256,0,14,2.768718e-03,5,3.276800e+04,3.351364e-01,1.096079e+10,0.000000e+00,4.512136e-02
3.364099e-01,1024,16,1000,14000,1836682112,0,14,1.209122e-02,5,6.553600e+04,3.364099e-01,5.459655e+09,0.000000e+00,2.247527e-02
3.301807e-01,512,16,1000,14000,918340224,0,14,4.026273e-03,5,1.310720e+05,3.301807e-01,2.781326e+09,0.000000e+00,1.144965e-02
3.316065e-01,256,16,1000,14000,459172096,0,14,1.016616e-02,5,2.621440e+05,3.316065e-01,1.384690e+09,0.000000e+00,5.700209e-03
