elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
4.030505e+02,67108864,16,1000,20000,172034503831040,0,20,0.000000e+00,1,1.000000e+00,3.224404e+02,4.268311e+11,0.000000e+00,1.000000e+00
2.017580e+02,33554432,16,1000,20000,86017251910016,0,20,4.685000e-02,2,2.000000e+00,1.614064e+02,4.263386e+11,0.000000e+00,9.988461e-01
1.012218e+02,16777216,16,1000,20000,43008625951616,0,20,5.036463e-02,3,4.000000e+00,8.097747e+01,4.248948e+11,0.000000e+00,9.954633e-01
5.085981e+01,8388608,16,1000,20000,21504312967424,0,20,4.471013e-02,4,8.000000e+00,4.068785e+01,4.228154e+11,0.000000e+00,9.905918e-01
2.567299e+01,4194304,16,1000,20000,10752156488448,0,20,1.283546e-01,5,1.600000e+01,2.053839e+01,4.188120e+11,0.000000e+00,9.812123e-01
1.287665e+01,2097152,16,1000,20000,5376078239104,0,20,8.564543e-02,5,3.200000e+01,1.030132e+01,4.175061e+11,0.000000e+00,9.781529e-01
6.522708e+00,1048576,16,1000,20000,2688039122688,0,20,5.845132e-02,5,6.400000e+01,5.218166e+00,4.121048e+11,0.000000e+00,9.654984e-01
3.273721e+00,524288,16,1000,20000,1344019556864,0,20,1.287720e-02,5,1.280000e+02,2.618977e+00,4.105479e+11,0.000000e+00,9.618509e-01
1.686474e+00,262144,16,1000,20000,672009777664,0,20,1.012114e-02,5,2.560000e+02,1.349179e+00,3.984704e+11,0.000000e+00,9.335551e-01
8.455803e-01,131072,16,1000,20000,336004888832,0,20,2.754571e-03,5,5.120000e+02,6.764642e-01,3.973660e+11,0.000000e+00,9.309678e-01
4.281632e-01,65536,16,1000,20000,168002441600,0,20,1.419884e-03,5,1.024000e+03,3.425306e-01,3.923794e+11,0.000000e+00,9.192849e-01
2.198612e-01,32768,16,1000,20000,84001225216,0,20,1.857985e-03,5,2.048000e+03,1.758890e-01,3.820648e+11,0.000000e+00,8.951192e-01
1.142788e-01,16384,16,1000,20000,42000608768,0,20,4.523666e-04,5,4.096000e+03,9.142304e-02,3.675276e+11,0.000000e+00,8.610609e-01
1.576518e-01,8192,16,1000,20000,21000297472,0,20,1.147637e-02,5,8.192000e+03,1.261214e-01,1.332068e+11,0.000000e+00,3.120833e-01
1.950354e-01,4096,16,1000,20000,10500143488,0,20,9.172579e-03,5,1.638400e+04,1.560283e-01,5.383711e+10,0.000000e+00,1.261322e-01
2.084278e-01,2048,16,1000,20000,5250067968,0,20,4.595992e-03,5,3.276800e+04,1.667422e-01,2.518890e+10,0.000000e+00,5.901384e-02
2.169227e-01,1024,16,1000,20000,2625036032,0,20,2.758754e-03,5,6.553600e+04,1.735382e-01,1.210125e+10,0.000000e+00,2.835140e-02
2.180742e-01,512,16,1000,20000,1312517632,0,20,5.954196e-03,5,1.310720e+05,1.744594e-01,6.018674e+09,0.000000e+00,1.410085e-02
2.196846e-01,256,16,1000,20000,656259200,0,20,1.299312e-02,5,2.621440e+05,1.757477e-01,2.987278e+09,0.000000e+00,6.998740e-03
