elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
5.009445e+02,67108864,16,1000,14000,120368856616448,0,14,0.000000e+00,1,1.000000e+00,5.009445e+02,2.402838e+11,0.000000e+00,1.000000e+00
2.515212e+02,33554432,16,1000,14000,60184428302464,0,14,5.230000e-02,2,2.000000e+00,2.515212e+02,2.392817e+11,0.000000e+00,9.958296e-01
1.266231e+02,16777216,16,1000,14000,30092214148480,0,14,4.158191e-02,3,4.000000e+00,1.266231e+02,2.376519e+11,0.000000e+00,9.890467e-01
6.414058e+01,8388608,16,1000,14000,15046107069696,0,14,4.375603e-02,4,8.000000e+00,6.414058e+01,2.345801e+11,0.000000e+00,9.762628e-01
3.300628e+01,4194304,16,1000,14000,7523053537664,0,14,2.165236e-02,5,1.600000e+01,3.300628e+01,2.279279e+11,0.000000e+00,9.485779e-01
1.744757e+01,2097152,16,1000,14000,3761526763904,0,14,1.012707e-02,5,3.200000e+01,1.744757e+01,2.155902e+11,0.000000e+00,8.972317e-01
9.355468e+00,1048576,16,1000,14000,1880763382528,0,14,1.374731e-02,5,6.400000e+01,9.355468e+00,2.010336e+11,0.000000e+00,8.366506e-01
4.944127e+00,524288,16,1000,14000,940381687808,0,14,7.919873e-03,5,1.280000e+02,4.944127e+00,1.902018e+11,0.000000e+00,7.915712e-01
2.549471e+00,262144,16,1000,14000,470190845312,0,14,3.734167e-03,5,2.560000e+02,2.549471e+00,1.844268e+11,0.000000e+00,7.675375e-01
1.291993e+00,131072,16,1000,14000,235095424256,0,14,4.147377e-03,5,5.120000e+02,1.291993e+00,1.819634e+11,0.000000e+00,7.572851e-01
6.541378e-01,65536,16,1000,14000,117547706496,0,14,1.437043e-03,5,1.024000e+03,6.541378e-01,1.796987e+11,0.000000e+00,7.478602e-01
3.363374e-01,32768,16,1000,14000,58773856256,0,14,2.186737e-03,5,2.048000e+03,3.363374e-01,1.747467e+11,0.000000e+00,7.272512e-01
1.798905e-01,16384,16,1000,14000,29386928640,0,14,9.602372e-04,5,4.096000e+03,1.798905e-01,1.633601e+11,0.000000e+00,6.798630e-01
9.861074e-02,8192,16,1000,14000,14693457792,0,14,4.381468e-04,5,8.192000e+03,9.861074e-02,1.490046e+11,0.000000e+00,6.201196e-01
5.646400e-02,4096,16,1000,14000,7346725248,0,14,1.070729e-03,5,1.638400e+04,5.646400e-02,1.301134e+11,0.000000e+00,5.414994e-01
5.590601e-02,2048,16,1000,14000,3673360256,0,14,1.191440e-03,5,3.276800e+04,5.590601e-02,6.570600e+10,0.000000e+00,2.734520e-01
5.519805e-02,1024,16,1000,14000,1836682112,0,14,3.705223e-03,5,6.553600e+04,5.519805e-02,3.327440e+10,0.000000e+00,1.384796e-01
5.467858e-02,512,16,1000,14000,918340224,0,14,2.396749e-03,5,1.310720e+05,5.467858e-02,1.679525e+10,0.000000e+00,6.989763e-02
5.593062e-02,256,16,1000,14000,459172096,0,14,1.405992e-03,5,2.621440e+05,5.593062e-02,8.209673e+09,0.000000e+00,3.416647e-02
