elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
3.543328e+02,33554432,16,1000,14000,90197828462848,0,14,0.000000e+00,1,1.000000e+00,3.543328e+02,2.545568e+11,0.000000e+00,1.000000e+00
1.782534e+02,16777216,16,1000,14000,45115137639296,0,14,2.960000e-02,2,2.000000e+00,1.782534e+02,2.530955e+11,0.000000e+00,9.939019e-01
9.043523e+01,8388608,16,1000,14000,22560802180736,0,14,3.867059e-02,3,4.000000e+00,9.043523e+01,2.494692e+11,0.000000e+00,9.795210e-01
4.697646e+01,4194304,16,1000,14000,11279961892352,0,14,3.643534e-02,4,8.000000e+00,4.697646e+01,2.401195e+11,0.000000e+00,9.428468e-01
2.541209e+01,2097152,16,1000,14000,5640369079936,0,14,1.635779e-02,5,1.600000e+01,2.541209e+01,2.219561e+11,0.000000e+00,8.714669e-01
1.376788e+01,1048576,16,1000,14000,2820610523904,0,14,2.267258e-02,5,3.200000e+01,1.376788e+01,2.048689e+11,0.000000e+00,8.042559e-01
7.303731e+00,524288,16,1000,14000,1410300785280,0,14,1.270799e-02,5,6.400000e+01,7.303731e+00,1.930932e+11,0.000000e+00,7.580303e-01
3.796569e+00,262144,16,1000,14000,705143207296,0,14,7.382633e-03,5,1.280000e+02,3.796569e+00,1.857317e+11,0.000000e+00,7.291386e-01
2.020389e+00,131072,16,1000,14000,352564424320,0,14,1.746125e-02,5,2.560000e+02,2.020389e+00,1.745032e+11,0.000000e+00,6.850723e-01
1.119552e+00,65536,16,1000,14000,176280413440,0,14,1.673669e-02,5,5.120000e+02,1.119552e+00,1.574563e+11,0.000000e+00,6.181548e-01
7.453873e-01,32768,16,1000,14000,88140650624,0,14,7.844416e-02,5,1.024000e+03,7.453873e-01,1.182481e+11,0.000000e+00,4.642260e-01
4.871150e-01,16384,16,1000,14000,44070801408,0,14,3.463577e-03,5,2.048000e+03,4.871150e-01,9.047309e+10,0.000000e+00,3.551811e-01
4.018224e-01,8192,16,1000,14000,22035853696,0,14,7.948648e-03,5,4.096000e+03,4.018224e-01,5.483978e+10,0.000000e+00,2.152867e-01
3.632038e-01,4096,16,1000,14000,11018378624,0,14,7.439841e-03,5,8.192000e+03,3.632038e-01,3.033663e+10,0.000000e+00,1.190888e-01
3.485336e-01,2048,16,1000,14000,5509645952,0,14,5.575402e-03,5,1.638400e+04,3.485336e-01,1.580808e+10,0.000000e+00,6.205071e-02
3.372852e-01,1024,16,1000,14000,2755271680,0,14,3.511813e-03,5,3.276800e+04,3.372852e-01,8.168968e+09,0.000000e+00,3.206005e-02
3.339259e-01,512,16,1000,14000,1378085120,0,14,2.513472e-03,5,6.553600e+04,3.339259e-01,4.126919e+09,0.000000e+00,1.619128e-02
3.293975e-01,256,16,1000,14000,689491968,0,14,5.425960e-03,5,1.310720e+05,3.293975e-01,2.093191e+09,0.000000e+00,8.206937e-03
3.387061e-01,128,16,1000,14000,345187712,0,14,8.184587e-03,5,2.621440e+05,3.387061e-01,1.019136e+09,0.000000e+00,3.990694e-03
