elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
3.498534e+02,33554432,16,1000,14000,90197828462848,0,14,0.000000e+00,1,1.000000e+00,3.498534e+02,2.578161e+11,0.000000e+00,1.000000e+00
1.762276e+02,16777216,16,1000,14000,45115137639296,0,14,9.550000e-03,2,2.000000e+00,1.762276e+02,2.560049e+11,0.000000e+00,9.926178e-01
8.940391e+01,8388608,16,1000,14000,22560802180736,0,14,3.762455e-02,3,4.000000e+00,8.940391e+01,2.523469e+11,0.000000e+00,9.782945e-01
4.607699e+01,4194304,16,1000,14000,11279961892352,0,14,2.142498e-02,4,8.000000e+00,4.607699e+01,2.448068e+11,0.000000e+00,9.491000e-01
2.409186e+01,2097152,16,1000,14000,5640369079936,0,14,1.025529e-02,5,1.600000e+01,2.409186e+01,2.341193e+11,0.000000e+00,9.076027e-01
1.242873e+01,1048576,16,1000,14000,2820610523904,0,14,1.712948e-02,5,3.200000e+01,1.242873e+01,2.269427e+11,0.000000e+00,8.796486e-01
6.066045e+00,524288,16,1000,14000,1410300785280,0,14,1.143693e-02,5,6.400000e+01,6.066045e+00,2.324910e+11,0.000000e+00,9.011570e-01
2.886837e+00,262144,16,1000,14000,705143207296,0,14,6.862108e-03,5,1.280000e+02,2.886837e+00,2.442615e+11,0.000000e+00,9.467904e-01
1.469985e+00,131072,16,1000,14000,352564424320,0,14,8.898809e-03,5,2.560000e+02,1.469985e+00,2.398422e+11,0.000000e+00,9.296796e-01
7.423677e-01,65536,16,1000,14000,176280413440,0,14,4.120052e-03,5,5.120000e+02,7.423677e-01,2.374570e+11,0.000000e+00,9.204433e-01
3.819140e-01,32768,16,1000,14000,88140650624,0,14,3.195336e-03,5,1.024000e+03,3.819140e-01,2.307866e+11,0.000000e+00,8.945828e-01
2.015904e-01,16384,16,1000,14000,44070801408,0,14,2.585476e-03,5,2.048000e+03,2.015904e-01,2.186155e+11,0.000000e+00,8.473956e-01
1.075030e-01,8192,16,1000,14000,22035853696,0,14,1.430601e-03,5,4.096000e+03,1.075030e-01,2.049790e+11,0.000000e+00,7.945216e-01
6.197767e-02,4096,16,1000,14000,11018378624,0,14,1.067270e-03,5,8.192000e+03,6.197767e-02,1.777798e+11,0.000000e+00,6.890661e-01
8.703814e-02,2048,16,1000,14000,5509645952,0,14,2.205437e-03,5,1.638400e+04,8.703814e-02,6.330152e+10,0.000000e+00,2.453333e-01
9.991197e-02,1024,16,1000,14000,2755271680,0,14,3.142912e-03,5,3.276800e+04,9.991197e-02,2.757699e+10,0.000000e+00,1.068609e-01
1.001294e-01,512,16,1000,14000,1378085120,0,14,6.007421e-03,5,6.553600e+04,1.001294e-01,1.376304e+10,0.000000e+00,5.331440e-02
1.021735e-01,256,16,1000,14000,689491968,0,14,3.418701e-03,5,1.310720e+05,1.021735e-01,6.748248e+09,0.000000e+00,2.612390e-02
1.017481e-01,128,16,1000,14000,345187712,0,14,3.249221e-03,5,2.621440e+05,1.017481e-01,3.392572e+09,0.000000e+00,1.311656e-02
