elapsed,iterations,output,steps,tasks,flops,bytes,width,std,reps,scale_factor,time_per_task,flops_per_second,bytes_per_second,efficiency
5.907494e+02,33554432,16,1000,28000,180445516236032,0,28,2.375000e-01,2,1.000000e+00,1.181499e+03,3.054519e+11,0.000000e+00,1.000000e+00
2.953624e+02,16777216,16,1000,28000,90248394314880,0,28,1.167368e-01,4,2.000000e+00,5.907248e+02,3.055514e+11,0.000000e+00,1.000042e+00
1.478107e+02,8388608,16,1000,28000,45127981933312,0,28,8.476251e-02,6,4.000000e+00,2.956213e+02,3.053094e+11,0.000000e+00,9.991658e-01
7.396005e+01,4194304,16,1000,28000,22563614077056,0,28,3.860981e-02,8,8.000000e+00,1.479201e+02,3.050784e+11,0.000000e+00,9.984265e-01
3.705182e+01,2097152,16,1000,28000,11281812928128,0,28,2.572727e-02,10,1.600000e+01,7.410363e+01,3.044874e+11,0.000000e+00,9.964920e-01
1.857514e+01,1048576,16,1000,28000,5641139800192,0,28,1.717373e-02,10,3.200000e+01,3.715027e+01,3.036930e+11,0.000000e+00,9.938510e-01
9.321753e+00,524288,16,1000,28000,2820741500928,0,28,1.005770e-02,10,6.400000e+01,1.864351e+01,3.025977e+11,0.000000e+00,9.902064e-01
4.676607e+00,262144,16,1000,28000,1410378641280,0,28,1.117875e-02,10,1.280000e+02,9.353214e+00,3.015816e+11,0.000000e+00,9.868757e-01
2.341547e+00,131072,16,1000,28000,705183750144,0,28,7.301983e-03,10,2.560000e+02,4.683094e+00,3.011615e+11,0.000000e+00,9.855086e-01
1.174009e+00,65536,16,1000,28000,352594789632,0,28,2.110652e-03,10,5.120000e+02,2.348017e+00,3.003341e+11,0.000000e+00,9.827931e-01
5.953426e-01,32768,16,1000,28000,176298284032,0,28,6.637832e-03,10,1.024000e+03,1.190685e+00,2.961291e+11,0.000000e+00,9.690281e-01
3.060216e-01,16384,16,1000,28000,88149849216,0,28,1.637411e-03,10,2.048000e+03,6.120432e-01,2.880511e+11,0.000000e+00,9.425866e-01
1.614108e-01,8192,16,1000,28000,44075819136,0,28,6.240107e-04,10,4.096000e+03,3.228215e-01,2.730662e+11,0.000000e+00,8.935336e-01
9.112408e-02,4096,16,1000,28000,22038811648,0,28,1.546515e-03,10,8.192000e+03,1.822482e-01,2.418550e+11,0.000000e+00,7.913711e-01
1.086283e-01,2048,16,1000,28000,11020311296,0,28,2.731070e-03,10,1.638400e+04,2.172567e-01,1.014497e+11,0.000000e+00,3.319252e-01
1.123306e-01,1024,16,1000,28000,5511050496,0,28,5.567059e-03,10,3.276800e+04,2.246611e-01,4.906100e+10,0.000000e+00,1.604927e-01
1.094062e-01,512,16,1000,28000,2756420480,0,28,4.213958e-03,10,6.553600e+04,2.188124e-01,2.519437e+10,0.000000e+00,8.239130e-02
1.124464e-01,256,16,1000,28000,1379115904,0,28,4.469265e-03,10,1.310720e+05,2.248928e-01,1.226465e+10,0.000000e+00,4.008185e-02
1.135614e-01,128,16,1000,28000,690449536,0,28,3.649262e-03,10,2.621440e+05,2.271227e-01,6.079968e+09,0.000000e+00,1.984416e-02
